ZIP,LAT,LNG,COUNT
11428,40.721008,-73.742257,40
11429,40.709781,-73.738733,50
11430,40.646809,-73.786169,140
11432,40.715359,-73.793072,120
11433,40.698165,-73.786892,100
11434,40.676808,-73.776425,80
11435,40.701229,-73.80964,60
11436,40.675818,-73.796661,40
11451,40.70119,-73.795943,20
11501,40.746286,-73.638905,0
11507,40.770847,-73.65226,10
11509,40.587963,-73.728528,20
11510,40.650127,-73.607709,30
11514,40.749892,-73.612477,40
11516,40.625787,-73.726685,50
11518,40.637472,-73.666807,140
11520,40.649401,-73.582951,120
11530,40.726854,-73.637009,100
11542,40.872605,-73.628622,80
11545,40.826321,-73.589365,60
11547,40.83367,-73.642687,40
11548,40.812868,-73.627405,20
11549,40.717289,-73.602775,0
11550,40.701475,-73.621108,10
11552,40.692979,-73.652416,20
11553,40.706743,-73.592044,30
11554,40.720115,-73.558861,40
11556,40.719678,-73.58386,50
11557,40.637176,-73.691976,140
11558,40.605357,-73.649046,120
11559,40.603733,-73.717352,100
11560,40.880757,-73.588724,80
11561,40.589081,-73.648178,60
11563,40.657253,-73.673718,40
11565,40.675061,-73.671667,20
11566,40.663194,-73.554014,0
11568,40.786929,-73.59649,10
11569,40.589785,-73.582303,20
11570,40.666066,-73.638409,30
11572,40.631772,-73.636624,40
11575,40.680422,-73.584877,50
11576,40.798032,-73.647275,140
11577,40.783264,-73.638877,120
11579,40.844016,-73.644006,100
11580,40.6749,-73.702154,80
11581,40.651028,-73.715325,60
11590,40.755182,-73.574338,40
11596,40.759667,-73.642309,20
11598,40.630935,-73.712339,0
11691,40.601261,-73.761646,10
11692,40.594154,-73.791986,20
11693,40.590916,-73.809715,30
11694,40.57827,-73.844762,40
11697,40.552684,-73.924526,50
11701,40.681433,-73.410099,140
11702,40.650697,-73.262218,120
11703,40.732671,-73.32501,100
11704,40.717504,-73.358203,80
11705,40.745255,-73.054836,60
11706,40.722537,-73.252183,40
11709,40.906313,-73.558244,20
11710,40.671972,-73.531972,0
11713,40.776087,-72.942806,10
11714,40.742563,-73.486073,20
11715,40.750968,-73.034924,30
11716,40.776692,-73.134854,40
11717,40.783805,-73.252263,50
11718,40.716435,-73.261514,140
11719,40.782152,-72.912098,120
11720,40.870331,-73.082113,100
11721,40.902425,-73.371427,80
11722,40.783056,-73.194911,60
11724,40.864221,-73.456381,40
11725,40.840492,-73.280815,20
11726,40.67879,-73.395727,0
11727,40.882067,-73.004019,10
11729,40.761136,-73.32526,20
11730,40.717339,-73.17023,30
11731,40.862633,-73.31693,40
11732,40.844738,-73.536885,50
11733,40.940235,-73.11278,140
11735,40.732747,-73.432789,120
11738,40.83821,-73.038185,100
11739,40.735995,-73.160805,80
11740,40.865398,-73.361296,60
11741,40.794894,-73.070326,40
11742,40.810074,-73.041409,20
11743,40.883411,-73.423556,0
11746,40.814268,-73.362276,10
11747,40.784369,-73.408541,20
11749,40.806747,-73.170894,30
11751,40.730486,-73.213924,40
11752,40.757114,-73.174012,50
11753,40.789713,-73.539899,140
11754,40.885566,-73.249901,120
11755,40.857817,-73.116844,100
11756,40.724512,-73.516326,80
11757,40.68901,-73.373328,60
11758,40.668934,-73.458448,40
11762,40.682744,-73.446664,20
11763,40.826582,-72.98405,0
11764,40.92986,-72.973063,10
11765,40.882186,-73.558941,20
11766,40.939219,-73.018666,30
11767,40.842949,-73.145216,40
11768,40.923631,-73.339309,50
11769,40.734589,-73.125012,140
11770,40.645867,-73.156498,120
11771,40.872799,-73.52502,100
11772,40.76178,-72.987407,80
11776,40.913604,-73.046385,60
11777,40.956068,-73.066659,40
11778,40.948046,-72.937093,20
11779,40.812958,-73.11449,0
11780,40.909287,-73.174729,10
11782,40.738088,-73.08167,20
11783,40.677612,-73.490014,30
11784,40.868939,-73.041245,40
11786,40.950485,-72.886658,50
11787,40.852924,-73.21126,140
11788,40.818088,-73.213209,120
11789,40.962028,-72.971008,100
11790,40.905957,-73.127374,80
11791,40.828288,-73.505922,60
11792,40.955033,-72.825569,40
11793,40.651288,-73.514726,20
11794,40.913615,-73.125246,0
11795,40.709005,-73.296337,10
11796,40.731247,-73.099419,20
11797,40.820208,-73.47245,30
11798,40.752599,-73.378743,40
11801,40.762304,-73.524452,50
11803,40.7817,-73.473035,140
11804,40.75901,-73.457384,120
11901,40.925812,-72.64617,100
11930,40.989988,-72.099587,80
11931,40.934271,-72.612394,60
11932,40.934313,-72.306615,40
11933,40.942231,-72.765594,20
11934,40.798359,-72.794297,0
11935,41.021223,-72.486958,10
11937,41.013013,-72.168912,20
11939,41.123116,-72.31535,30
11940,40.81317,-72.752004,40
11941,40.83016,-72.729761,50
11942,40.850303,-72.581827,140
11944,41.10403,-72.371541,120
11946,40.87027,-72.521704,100
11947,40.950659,-72.571053,80
11948,40.960725,-72.54988,60
11949,40.866503,-72.804643,40
11950,40.808032,-72.84701,20
11951,40.763164,-72.830344,0
11952,41.001648,-72.547599,10
11953,40.892507,-72.951176,20
11954,41.047533,-71.946386,30
11955,40.809133,-72.816101,40
11956,40.969049,-72.462175,50
11957,41.192201,-72.148968,140
11958,41.039067,-72.464419,120
11959,40.822586,-72.601345,100
11960,40.810615,-72.706062,80
11961,40.905139,-72.888349,60
11962,40.930895,-72.268719,40
11963,40.993155,-72.319664,20
11964,41.055827,-72.319034,0
11965,41.096081,-72.2884,10
11967,40.794778,-72.875477,20
11968,40.905923,-72.415661,30
11970,40.938952,-72.577539,40
11971,41.064037,-72.430926,50
11972,40.847825,-72.702889,140
11973,40.86772,-72.882721,120
11975,40.941107,-72.244466,100
11976,40.922393,-72.350704,80
11977,40.828388,-72.679194,60
11978,40.826323,-72.649008,40
11980,40.831296,-72.923154,20
